iso3,annee,migrants,pib_pc,ressources,population,n_events,n_deaths,polity2,conflits_pc,deces_pc,log_conflits,log_deces,log_migrants,log_pib,log_ressources,periode,lag_conflits,lag_migrants,lag_pib,lag_polity,lag_ressources,W_lag_migrants,W_log_pib,W_polity2,W_log_ressources,lag_log_conflits
AGO,1997,NA,2176.87757986492,39.4514891636558,14660413,35,105,-6,0.23873815833155587,0.7162144749946676,0.21409324724729273,0.5401209786838705,NA,7.685646826242697,3.7001034577503535,1996-2010,0.18030869653723355,12.479709148714326,7.649383268174686,-4,3.746245045973886,12.534065490911155,7.09602068960405,0.25,2.475986503940027,0.18030869653723355
AGO,1998,NA,2203.98692701325,24.2693807744448,15159370,110,1191,-6,0.7256238220981478,7.856527019262674,0.5455886211077122,2.1811547034892036,NA,7.698023238773022,3.2295934167249074,1996-2010,0.21409324724729273,12.479709148714326,7.685646826242697,-6,3.7001034577503535,12.534065490911155,7.083034745470777,0.25,2.4103538107821976,0.21409324724729273
AGO,1999,NA,2179.06426975438,40.8033543240701,15667235,245,2666,-6,1.5637730588709493,17.016403979387558,0.941480024560378,2.8912826750733065,NA,7.686650829578204,3.7329765832984165,1996-2010,0.5455886211077122,12.479709148714326,7.698023238773022,-6,3.2295934167249074,12.534065490911155,7.057167756068814,0.25,2.332696969143196,0.5455886211077122
AGO,2000,46108,2172.46326720494,59.1425103628059,16194869,130,1209,-6,0.8027233810906405,7.4653274441429565,0.5892985109814853,2.135978696956629,10.738763437696006,7.683616948920627,4.09671691867135,1996-2010,0.941480024560378,12.479709148714326,7.686650829578204,-6,3.7329765832984165,12.534065490911155,7.045154990980678,0.25,2.256674390148911,0.941480024560378
AGO,2001,49352.6,2189.17352158246,44.219476594374,16747208,124,2158,-6,0.7404219258517598,12.88572996764595,0.5541275699531308,2.630861691767661,10.806765990529295,7.691279364176729,3.8115278921338764,1996-2010,0.5892985109814853,10.738763437696006,7.683616948920627,-6,4.09671691867135,12.678971575151296,7.034921975514794,1.5,2.3552060238145884,0.5892985109814853
AGO,2002,52597.2,2404.97792071531,32.8837159773494,17327699,69,579,-2,0.39820636311838054,3.3414707861672803,0.3351902460211529,1.468213181523743,10.870437177607945,7.7852960019219655,3.52293454432869,1996-2010,0.5541275699531308,10.806765990529295,7.691279364176729,-6,3.8115278921338764,12.648576689008848,7.050462055766351,1.75,2.3954715095317365,0.5541275699531308
AGO,2003,55841.8,2403.40415157038,28.4066969543848,17943712,37,84,-2,0.20620036701436134,0.4681305629515231,0.18747522630792582,0.3839898655777298,10.930295879445598,7.784641407849586,3.3812224359690966,1996-2010,0.3351902460211529,10.870437177607945,7.7852960019219655,-2,3.52293454432869,12.616629219247685,7.067562924015964,2,2.59675282457927,0.3351902460211529
AGO,2004,59086.4,2583.32411461288,33.7707170143085,18600423,19,38,-2,0.10214821458630269,0.20429642917260538,0.0972611976817773,0.18589552021522082,10.98677298269473,7.856832265135966,3.54877556744386,1996-2010,0.18747522630792582,10.930295879445598,7.784641407849586,-2,3.3812224359690966,12.582970450147117,7.111294308534567,2.5,2.553899480782931,0.18747522630792582
AGO,2005,62331,2843.3966357968,42.7600742732017,19291161,13,15,-2,0.06738837543266576,0.07775581780692203,0.06521489431377867,0.07488093273484897,11.040230216565504,7.952754615038768,3.7787218553975164,1996-2010,0.0972611976817773,10.98677298269473,7.856832265135966,-2,3.54877556744386,12.547414523259711,7.140485778843853,2.75,2.649460760048423,0.0972611976817773
AGO,2006,117138.20000000001,3065.05576243895,40.7534428993222,20015279,12,3,-2,0.0599541979904452,0.0149885494976113,0.05822569774744469,0.014877331146974818,11.671118250185588,8.02782104149648,3.731781912551266,1996-2010,0.06521489431377867,11.040230216565504,7.952754615038768,-2,3.7787218553975164,12.509741644625528,7.1793779954244705,3,2.8796730740962904,0.06521489431377867
AGO,2007,171945.40000000002,3336.36332465208,45.881176080136,20778561,22,26,-2,0.10587836183651023,0.1251289730795121,0.10063991679555133,0.11789767182275122,12.054938079322547,8.112636667815755,3.8476162319877005,1996-2010,0.05822569774744469,11.671118250185588,8.02782104149648,-2,3.731781912551266,12.500361448594507,7.187015082817213,3,3.0546829996432296,0.05822569774744469
AGO,2008,226752.6,3559.19522512236,52.5607729557913,21578655,9,4,-2,0.04170788216411078,0.018536836517382572,0.040861560615053256,0.018367123450808626,12.331619244367339,8.177289737931694,3.98081695230568,1996-2010,0.10063991679555133,12.054938079322547,8.112636667815755,-2,3.8476162319877005,12.487988400809915,7.21723209137194,3.5,2.8451580236817158,0.10063991679555133
AGO,2009,281559.80000000005,3494.80724466172,30.3114661376593,22414773,9,25,-2,0.040152090766210305,0.1115335854616953,0.03936694358244697,0.10574067030541659,12.548103689030718,8.159033501405,3.443984360740209,1996-2010,0.040861560615053256,12.331619244367339,8.177289737931694,-2,3.98081695230568,12.472330401829268,7.238708702581661,3.5,2.7324849749128264,0.040861560615053256
AGO,2010,336367,3540.79159568381,38.1623101146694,23294825,4,10,-2,0.017171195748411933,0.04292798937102983,0.017025436969068233,0.04203213180487,12.725961077704907,8.172105595729748,3.667714807614641,1996-2010,0.03936694358244697,12.548103689030718,8.159033501405,-2,3.443984360740209,12.452938599417248,7.289570049849344,3.5,2.824908116314424,0.03936694358244697
AGO,2011,395529.2,3528.16824373399,39.0226784952754,24218352,2,1,-2,0.008258200227662065,0.004129100113831032,0.008224287867611766,0.004120598773843917,12.887982422313833,8.168534104122855,3.6894462558333734,2011-2024,0.017025436969068233,12.725961077704907,8.172105595729748,-2,3.667714807614641,12.4291396186246,7.310356396451385,3.5,2.850144962132417,0.017025436969068233
AGO,2012,454691.4,3682.35229322763,34.7310076331615,25177394,0,0,-2,0,0,0,0,13.027376425356284,8.21130703707141,3.5760188729576097,2011-2024,0.008224287867611766,12.887982422313833,8.168534104122855,-2,3.6894462558333734,12.435890728859238,7.356486991269163,3.5,2.6916447048818437,0.008224287867611766
AGO,2013,513853.6,3716.29718727282,29.4000452272015,26165620,1,2,-2,0.003821808923312346,0.007643617846624692,0.003814524365814733,0.0076145534107370915,13.149695625041952,8.220483071782402,3.4144440961479607,2011-2024,0,13.027376425356284,8.21130703707141,-2,3.5760188729576097,12.441209424989207,7.374570291745915,3.5,2.5400871211291682,0
AGO,2014,573015.8,3746.81619978613,22.124247625088,27160769,6,0,-2,0.022090685282143523,0,0.021850220997741567,0,13.2586703146388,8.228661744958096,3.1408817477378803,2011-2024,0.003814524365814733,13.149695625041952,8.220483071782402,-2,3.4144440961479607,12.445237955296225,7.4055484272930165,3.5,2.509845505944854,0.003814524365814733
