variable,direct,indirect,total,se_direct,se_indirect,se_total,z_direct,z_indirect,z_total,p_direct,p_indirect,p_total
lag_migrants dy/dx,0.004994060747055584,0.046784281826261286,0.05177834257331687,0.012498854591918776,0.02338672605451888,0.02155705706254961,0.39956147263962327,2.000463071111291,2.401920745632285,0.6894795381639793,0.04545028373236182,0.016309241491460513
log_pib dy/dx,0.023818901972363648,0.021912189181465657,0.045731091153829305,0.027687480256528302,0.03660468189444831,0.032958053381067394,0.8602769826534684,0.598617118013775,1.387554374801132,0.3896363777421701,0.5494282382611597,0.16527278278416113
polity2 dy/dx,-0.009585990145751823,-1.487828395210604e-4,-0.009734772985272883,0.002505442361139133,0.003945783467161609,0.004176522578225728,-3.826066923125473,-0.03770679277240902,-2.330832122403709,1.3020690570697546e-4,0.9699214600008368,0.019762213589931354
log_ressources dy/dx,0.03273448403637223,-0.029205190474406437,0.0035292935619657944,0.01468195621453709,0.022396730834359897,0.021451241413438883,2.229572378370175,-1.3039934573666152,0.1645263084753102,0.025775845293290134,0.19223581313797178,0.8693168377659302
